,sample,sex,age,reg,ctg,size,moult,exp,prep,flag,type,qual,length,codeset,cohdate,regentime
128,Oun,F,O,,11,I,,regen,Luke,FALSE,O,?,6.5,phaw_1,,
129,M,F,M,,11,P,,Size-age,Luke,FALSE,M,ok,5.6,phaw_1,,
130,N,F,M,,11,P,,Size-age,Luke,FALSE,M,ok,5.9,phaw_1,,
131,O,F,Y,,11,P,,Size-age,Luke,FALSE,Y,?,5.3,phaw_1,,
132,P,F,O,,11,P,,Size-age,Luke,FALSE,O,?,6.4,phaw_1,,
133,Q,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.3,phaw_1,,
134,R,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.8,phaw_1,,
135,S,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,4.2,phaw_1,,
136,T,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,3.8,phaw_1,,
137,U,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.35,phaw_1,,
138,V,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.9,phaw_1,,
139,W,F,M,,12,P,,Size-age,Luke,FALSE,M,?,6.8,phaw_1,,
140,X,F,O,,12,P,,Size-age,Luke,FALSE,O,?,7.3,phaw_1,,
141,Y,F,M,,12,P,,Size-age,Luke,FALSE,M,?,6.2,phaw_1,,
142,Z,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.8,phaw_1,,
143,AA,F,M,,12,P,,Size-age,Luke,FALSE,M,?,6.6,phaw_1,,
144,AB,F,O,,12,P,,Size-age,Luke,TRUE,O,?,7.2,phaw_1,,
145,Preg,F,O,R,13,I,,regen,Luke,FALSE,OR,?,6.5,phaw_1,,7
146,Pun,F,O,,13,I,,regen,Luke,FALSE,O,?,6.5,phaw_1,,
147,Qreg,F,M,R,13,P,,regen,Luke,FALSE,MR,?,6.2,phaw_1,,7
148,Qun,F,M,,13,P,,regen,Luke,FALSE,M,?,6.2,phaw_1,,
149,Rreg,F,Y,R,13,P,,regen,Luke,FALSE,YR,?,5.6,phaw_1,,7
150,Run,F,Y,,13,P,,regen,Luke,FALSE,Y,?,5.6,phaw_1,,
151,Coh1,F,O,,13,I,,cohorts,Luke,FALSE,O,?,7.6,phaw_1,21/08/2017,
152,Coh2,F,O,,13,I,,cohorts,Luke,FALSE,O,?,7,phaw_1,11/09/2017,
153,Coh3,F,M,,13,I,,cohorts,Luke,FALSE,M,?,6.2,phaw_1,08/09/2017,
154,Coh4,F,M,,13,I,,cohorts,Luke,FALSE,M,?,6.1,phaw_1,15/10/2017,
155,Coh5,F,Y,,13,I,,cohorts,Luke,FALSE,Y,?,5.9,phaw_1,15/10/2017,
156,Coh6,F,Y,,13,I,,cohorts,Luke,FALSE,Y,?,5.9,phaw_1,15/10/2017,
157,Coh7,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,5.1,phaw_1,19/02/2018,
158,Coh8,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4.1,phaw_1,19/02/2018,
159,Coh9,F,O,,14,I,,cohorts,Luke,FALSE,O,?,9.1,phaw_1,20/10/2016,
160,Coh10,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4.8,phaw_1,23/01/2018,
161,Coh11,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4,phaw_1,23/02/2018,
162,Coh12,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4.1,phaw_1,23/02/2018,
163,Coh13,F,O,,14,I,,cohorts,Luke,FALSE,O,?,8.5,phaw_1,10/04/2017,
164,Coh14,F,O,,14,I,,cohorts,Luke,FALSE,O,?,8.9,phaw_1,21/12/2016,
165,Coh15,F,O,,14,I,,cohorts,Luke,FALSE,O,?,8.5,phaw_1,03/04/2017,
166,AC,F,Y,,14,P,,Size-age,Luke,FALSE,Y,?,5.8,phaw_1,,
167,AD,F,O,,14,P,,Size-age,Luke,FALSE,O,?,8.5,phaw_1,,
168,AE,F,O,,14,P,,Size-age,Luke,FALSE,O,?,7.5,phaw_1,,
169,AF,F,Y,,15,P,,Size-age,Luke,FALSE,Y,?,4.5,phaw_2,,
170,AG,F,O,,15,P,,Size-age,Luke,FALSE,O,?,8.2,phaw_2,,
171,AH,F,O,,15,P,,Size-age,Luke,FALSE,O,?,7.4,phaw_2,,
172,AI,F,O,,15,P,,Size-age,Luke,FALSE,O,?,7.4,phaw_2,,
173,Sreg,F,M,R,15,P,,regen,Luke,FALSE,MR,?,6.1,phaw_2,,7
174,Sun,F,M,,15,P,,regen,Luke,FALSE,M,?,6.1,phaw_2,,
175,Treg,F,Y,R,15,P,,regen,Luke,FALSE,YR,?,5.3,phaw_2,,7
176,Tun,F,Y,,15,P,,regen,Luke,FALSE,Y,?,5.3,phaw_2,,
177,PAreg,F,O,R-A,15,I,,regen-long,Luke,FALSE,OR-A,?,7.5,phaw_2,,13
178,PAun,F,O,,15,I,,regen-long,Luke,FALSE,O,?,7.5,phaw_2,,
179,PBreg,F,O,R-A,15,I,,regen-long,Luke,FALSE,OR-A,?,7.5,phaw_2,,13
180,PBun,F,O,,15,I,,regen-long,Luke,FALSE,O,?,7.5,phaw_2,,
