"","X","sample","sex","age","reg","ctg","size","moult","exp","prep","flag","type","qual","length","codeset","cohdate","regentime","wkage","key","over0reads","over10reads","predage"
"71",71,"Dun","F","O","",6,"P",NA,"regen","Luke",FALSE,"O","ok",6.9,"phaw_1",NA,NA,NA,"Dun 6",81,69,38.773663991825
"72",72,"Dreg","F","O","R",6,"P",NA,"regen","Luke",FALSE,"OR","ok",6.9,"phaw_1",NA,4,NA,"Dreg 6",97,97,38.773663991825
"73",73,"SFPC","F","Y","",7,"P",NA,"OvY","Luke",FALSE,"Y","ok",4.5,"phaw_1",NA,NA,NA,"SFPC 7",186,168,19.1322684742285
"74",74,"SFPD","F","Y","",7,"P",NA,"OvY","Luke",FALSE,"Y","ok",4.1,"phaw_1",NA,NA,NA,"SFPD 7",186,168,16.3554767837797
"75",75,"LFPC","F","O","",7,"P",NA,"OvY","Luke",FALSE,"O","ok",7.2,"phaw_1",NA,NA,NA,"LFPC 7",149,97,42.8121143094769
"76",76,"LFPD","F","O","",7,"P",NA,"OvY","Luke",FALSE,"O","bad",7.3,"phaw_1",NA,NA,NA,"LFPD 7",83,83,44.2910459345308
"77",77,"SMPC","M","Y","",7,"P",NA,"OvY","Luke",FALSE,"Y","ok",NA,"phaw_1",NA,NA,NA,"SMPC 7",183,95,NA
"78",78,"SMPD","M","Y","",7,"P",NA,"OvY","Luke",TRUE,"Y","ok",NA,"phaw_1",NA,NA,NA,"SMPD 7",192,122,NA
"79",79,"LMPC","M","O","",7,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"LMPC 7",158,60,NA
"80",80,"LMPD","M","O","",7,"P",NA,"OvY","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"LMPD 7",131,87,NA
"81",81,"0mPA","F","N","",7,"P",0,"moult","Luke",FALSE,"N","ok",NA,"phaw_1",NA,NA,NA,"0mPA 7",78,78,NA
"82",82,"0mPB","F","N","",7,"P",0,"moult","Luke",FALSE,"N","ok",NA,"phaw_1",NA,NA,NA,"0mPB 7",187,174,NA
"83",83,"10mPA","F","N","",7,"P",10,"moult","Luke",FALSE,"N","ok",NA,"phaw_1",NA,NA,NA,"10mPA 7",178,104,NA
"84",84,"20mPA","F","N","",7,"P",20,"moult","Luke",FALSE,"N","ok",NA,"phaw_1",NA,NA,NA,"20mPA 7",152,76,NA
"85",85,"Ebef","F","O","",8,"P",NA,"regen","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"Ebef 8",168,89,NA
"86",86,"Eun","F","O","",8,"P",NA,"regen","Luke",FALSE,"O","ok",7,"phaw_1",NA,NA,NA,"Eun 8",133,69,40.0563480732702
"87",87,"Ereg","F","O","R",8,"P",NA,"regen","Luke",FALSE,"OR","ok",7,"phaw_1",NA,4,NA,"Ereg 8",141,91,40.0563480732702
"88",88,"Fbef","F","O","",8,"I",NA,"regen","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"Fbef 8",176,127,NA
"89",89,"Fun","F","O","",8,"I",NA,"regen","Luke",FALSE,"O","ok",6.7,"phaw_1",NA,NA,NA,"Fun 8",103,84,36.3840702265205
"90",90,"Freg","F","O","R",8,"I",NA,"regen","Luke",TRUE,"OR","bad",6.7,"phaw_1",NA,4,NA,"Freg 8",27,27,36.3840702265205
"91",91,"Gbef","F","O","",8,"I",NA,"regen","Luke",FALSE,"O","ok",NA,"phaw_1",NA,NA,NA,"Gbef 8",184,148,NA
